branch_clean,maps_to_branch_id,exams,total_rows,total_colleges,suggested_primary_branch,note
"B. Tech. (ME) - MBA (NITIE) (5 Years, Bachelor of Technology and MBA (Dual Degree))",MECHENG,JoSAA,42,1,Mechanical / Mechatronics Engineering ,
"B. Tech. and M. Tech. in Engineering and Computational Mechanics (Dual Degree) (5 Years, Bachelor and Master of Technology (Dual Degree))",ENGSCI,JoSAA,96,1,Engineering Science,
"B.Tech. (Elctrical Engineering) - MBA (5 Years, Bachelor of Technology and MBA (Dual Degree))",ELEC,JoSAA,24,1,Electrical / Electronics / Communications Engineering,
CLOUD COMPUTING,CSIT,WBJEE,6,2,Computer Science / Information Technology,
"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",CSIT,JoSAA,72,1,Computer Science / Information Technology,
Integrated M.Sc. in Material Science and Engg,MEMS,OJEE,1,1,Metallurgy Engineering And Material Science,
Jute & Fibre Technology,TEXTILE,WBJEE,104,4,Textile Engineering,
LEATHER TECHNOLOGY,OTHER,TNEA,7,1,Textile Engineering,
Leather Technology,OTHER,WBJEE,94,2,Textile Engineering,
MATERIAL SCIENCE AND ENGINEERING,MEMS,TNEA,6,1,Metallurgy Engineering And Material Science,
Power Engineering,ENERGYENG,WBJEE,96,2,Energy Engineering,
Power Engineering/Power Plant Engineering,ENERGYENG,WBJEE,24,2,Energy Engineering,
RUBBER TECHNOLOGY,POLYMERTECH,GUJCET,4,1,Polymer Technology,
Semiconductor Technology,ELEC,WBJEE,5,2,Electrical / Electronics / Communications Engineering,
"Space Science and Engineering (4 Years, Bachelor of Technology)",SPACEENG,JoSAA,48,1,Space Engineering,
VIRTUAL REALITY (AR/VR),CSIT,WBJEE,2,1,Computer Science / Information Technology,
AERO SPACE ENGINEERING,AERO,CollegeFees; GUJCET; KCET,96,11,Aerospace Engineering,
Aircraft Maintenance Engineering,AERO,OJEE,2,1,Aerospace Engineering,
B TECH IN AERO SPACE ENGINEERING,AERO,KCET,50,4,Aerospace Engineering,
B TECH IN AERONAUTICAL ENGINEERING,AERO,KCET,1,1,Aerospace Engineering,
AGRICULTURAL TECHNOLOGY,AGRIENG,GUJCET,1,1,Agricultural Engineering,
AGRICULTURE ENGINEERING,AGRIENG,KCET,5,5,Agricultural Engineering,
Agriculture Engineering,AGRIENG,OJEE,8,5,Agricultural Engineering,
B TECH IN AGRICULTURAL ENGINEERING,AGRIENG,KCET,7,1,Agricultural Engineering,
B.Tech Agricultural Engineering,AGRIENG,KEAM,17,4,Agricultural Engineering,
B.Tech Agriculture Engineering,AGRIENG,KEAM,60,5,Agricultural Engineering,
B.Tech. (Agricultural Engg.),AGRIENG,KEAM,36,1,Agricultural Engineering,
B.Tech. (Agrl. Engg.),AGRIENG,KEAM,25,1,Agricultural Engineering,
"Digital Agriculture (4 Years, Bachelor of Technology)",AGRIENG,JoSAA,48,1,Agricultural Engineering,
"Animation and VFX (4 Years, Bachelor of Technology)",DESIGN,JoSAA,33,1,Design,
Cinematography,DESIGN,OJEE,1,1,Design,
Film Editing,DESIGN,OJEE,4,1,Design,
Architectural Engineering,ARCH,WBJEE,84,1,Architecture,
"Architecture, Town and Regional Planning (5 Years, Bachelor of Architecture)",ARCH,JoSAA,363,1,Architecture,
B ARCH,ARCH,OJEE; WBJEE,25,6,Architecture,
B.ARCH,ARCH,WBJEE,14,3,Architecture,
Naval Architecture & Ship Building Engineering,ARCH,KEAM,61,3,Architecture,
Naval Architecture And Marine Engineering,ARCH,AP-EAPCET,22,1,Architecture,expanded from EAPCET code NAM (official course list)
"Naval Architecture and Ocean Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ARCH,JoSAA,101,1,Architecture,
"Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))",ARCH,JoSAA,394,1,Architecture,
ARTIFICIAL INTELLIGENCE (AI),AIML,WBJEE,69,2,Artificial Intelligence / Machine Learning / Data Science,
ARTIFICIAL INTELLIGENCE ENGINEERING,AIML,KCET,1,1,Artificial Intelligence / Machine Learning / Data Science,
ARTIFICIAL INTELLIGENCE(AI) AND MACHINE LEARNING,AIML,GUJCET,33,7,Artificial Intelligence / Machine Learning / Data Science,
ARTIFICIAL INTELLIGENT(AI),AIML,OJEE,1,1,Artificial Intelligence / Machine Learning / Data Science,
AUGMENTED REALITY,AIML,WBJEE,1,1,Artificial Intelligence / Machine Learning / Data Science,
Artificial Intelligence & Machine Learning,AIML,OJEE,10,5,Artificial Intelligence / Machine Learning / Data Science,
B TECH IN ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,AIML,KCET,100,5,Artificial Intelligence / Machine Learning / Data Science,
B TECH IN ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,AIML,KCET,47,4,Artificial Intelligence / Machine Learning / Data Science,
B TECH IN COMPUTER SCIENCE & ENGINEERING (ARTIFICAL INTELLIGENCE & MACHINE LEARNING),AIML,CollegeFees,20,1,Artificial Intelligence / Machine Learning / Data Science,
B TECH IN COMPUTER SCIENCE & ENGINEERING(ARTIFICAL INTELLIGENCE & MACHINE LEARNING),AIML,KCET,179,7,Artificial Intelligence / Machine Learning / Data Science,
B TECH IN COMPUTER SCIENCE & ENGINEERING(ARTIFICIAL INTELLIGENCE AND FUTURE TECHNOLOGIES),AIML,KCET,19,1,Artificial Intelligence / Machine Learning / Data Science,
B TECH IN COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),AIML,KCET,48,2,Artificial Intelligence / Machine Learning / Data Science,
B TECH IN COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE),AIML,KCET,61,4,Artificial Intelligence / Machine Learning / Data Science,
B TECH IN COMPUTER SCIENCE(AI &ML),AIML,KCET,38,2,Artificial Intelligence / Machine Learning / Data Science,
B TECH IN COMPUTER SCIENCE(DATA SCIENCE),AIML,KCET,12,1,Artificial Intelligence / Machine Learning / Data Science,
B TECH IN ROBOTICS AND ARTIFICIAL INTELLIGENCE,AIML,KCET,46,4,Artificial Intelligence / Machine Learning / Data Science,
B TECH(HONS)COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE),AIML,KCET,11,1,Artificial Intelligence / Machine Learning / Data Science,
B.TECH IN COMPUTER SCIENCE AND ARTIFICIAL INTELLIGENCE,AIML,KCET,13,1,Artificial Intelligence / Machine Learning / Data Science,
B.TECH IN COMPUTER SICENCE AND ENGINEERING(DATA ANALYTICS),AIML,KCET,9,1,Artificial Intelligence / Machine Learning / Data Science,
"B.Tech in CSE (AI and ML) (4 Years, Bachelor of Technology)",AIML,JoSAA,42,1,Artificial Intelligence / Machine Learning / Data Science,
BTECH IN INFORMATION TECHNOLOGY AUGMENTED REALITY AND VIRUTAL REALITY(AR/VR),AIML,KCET,8,1,Artificial Intelligence / Machine Learning / Data Science,
BTECH IN INFORMATION TECHNOLOGY DATA ANALYTICS,AIML,KCET,11,1,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),AIML,GUJCET,4,3,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER ENGINEERING (ARTIFICIAL INTELLIGENCE),AIML,GUJCET,2,1,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER ENGINEERING (Data Science),AIML,GUJCET,1,1,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE & CYBER SECURITY),AIML,WBJEE,4,1,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE & DATA SCIENCE),AIML,WBJEE,3,1,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE & ROBOTICS),AIML,WBJEE,6,2,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),AIML,GUJCET,51,20,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE),AIML,GUJCET,17,7,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER SCIENCE & ENGINEERING (BIG DATA ANALYTICS),AIML,GUJCET,4,2,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER SCIENCE & ENGINEERING (Big Data Analytics),AIML,GUJCET,2,1,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER SCIENCE & ENGINEERING (DATA SCIENCE & ARTIFICIAL INTELLIGENCE),AIML,WBJEE,6,1,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER SCIENCE & ENGINEERING (DATA SCIENCE),AIML,GUJCET,28,9,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER SCIENCE & ENGINEERING (ROBOTICS AND ARTIFICIAL INTELLIGENCE),AIML,WBJEE,8,3,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER SCIENCE AND ENGG (ARTIFICIAL INTELLIGENCE),AIML,CollegeFees; TG-EAPCET,77,4,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER SCIENCE AND ENGG(ARTIFICIA L INTELLIGENCE AND MACHINE LEARNING),AIML,CollegeFees,101,10,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),AIML,TNEA,609,129,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),AIML,TG-EAPCET,2541,122,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER SCIENCE AND ENGINEERING(AIML),AIML,KCET,14,1,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER SCIENCE AND ENGINEERING(ARTIFICAL INTELLIGENCE & DATA SCIENCE),AIML,KCET,30,3,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),AIML,KCET,744,63,Artificial Intelligence / Machine Learning / Data Science,
COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE),AIML,KCET; TNEA,93,8,Artificial Intelligence / Machine Learning / Data Science,
CSE (Artificial Intelligence & Data Science),AIML,AP-EAPCET,453,21,Artificial Intelligence / Machine Learning / Data Science,expanded from EAPCET code CAD (official course list)
CSE (Artificial Intelligence And Machine Learning),AIML,AP-EAPCET,2656,125,Artificial Intelligence / Machine Learning / Data Science,expanded from EAPCET code CSM (official course list)
CSE - Data Analytics,AIML,AP-EAPCET,36,1,Artificial Intelligence / Machine Learning / Data Science,expanded from EAPCET code CDA (official course list)
Comp. Sci. And Engg.. (Artificial Intelligence),AIML,AP-EAPCET,1042,52,Artificial Intelligence / Machine Learning / Data Science,expanded from EAPCET code CAI (official course list)
Computer Science & Engineering (Artificial Intelligence And Machine Learning),AIML,WBJEE,1038,89,Artificial Intelligence / Machine Learning / Data Science,
Computer Science & Engineering (Artificial Intelligence),AIML,KEAM; WBJEE,284,27,Artificial Intelligence / Machine Learning / Data Science,
Computer Science & Engineering (Data Science),AIML,KEAM; WBJEE,1071,72,Artificial Intelligence / Machine Learning / Data Science,
Computer Science Engineering (Artificial Inteligence and Machine Learning),AIML,OJEE,37,17,Artificial Intelligence / Machine Learning / Data Science,
Computer Science Engineering (Big Data Analytics),AIML,AP-EAPCET,18,1,Artificial Intelligence / Machine Learning / Data Science,expanded from EAPCET code CBA (official course list)
Computer Science Engineering with specialization in Artificial Intelligence and Machine Learning,AIML,OJEE,26,3,Artificial Intelligence / Machine Learning / Data Science,
Computer Science and Engineering (Artificial Intelligence and Machine Learning),AIML,KEAM; TNEA,370,19,Artificial Intelligence / Machine Learning / Data Science,
"Computer Science and Engineering (Artificial Intelligence and Machine Learning) (4 Years, Bachelor of Technology)",AIML,JoSAA,60,1,Artificial Intelligence / Machine Learning / Data Science,
Computer Science and Engineering (Artificial Intelligence),AIML,KEAM; MHT-CET,450,23,Artificial Intelligence / Machine Learning / Data Science,
"Computer Science and Engineering with minor in AI and ML (4 Years, Bachelor of Technology)",AIML,JoSAA,42,1,Artificial Intelligence / Machine Learning / Data Science,
"Computer Science and Engineering with specialization in Quantum Technologies (4 Years, Bachelor of Technology)",AIML,JoSAA,60,1,Artificial Intelligence / Machine Learning / Data Science,
Computer Science and Engineering(Artificial Intelligence and Machine Learning),AIML,MHT-CET,1107,51,Artificial Intelligence / Machine Learning / Data Science,
Computer science & Engineering (Data Science),AIML,OJEE,33,17,Artificial Intelligence / Machine Learning / Data Science,
DATA SCIENCES,AIML,KCET,3,3,Artificial Intelligence / Machine Learning / Data Science,
ELECTRONICS & COMMUNICATION ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),AIML,GUJCET,3,2,Artificial Intelligence / Machine Learning / Data Science,
Mechanical Engineering (Artificial Intelligence and Robotics),AIML,OJEE,9,2,Artificial Intelligence / Machine Learning / Data Science,
Quantum Computing,AIML,AP-EAPCET,20,1,Artificial Intelligence / Machine Learning / Data Science,expanded from EAPCET code QC (official course list)
ROBOTICS & ARTIFICIAL INTELLIGENCE,AIML,GUJCET; WBJEE,9,5,Artificial Intelligence / Machine Learning / Data Science,
"Robotics and AI (4 Years, Bachelor of Technology)",AIML,JoSAA,36,1,Artificial Intelligence / Machine Learning / Data Science,
AUTOMOTIVE ENGINEERING,AUTOENG,KCET,4,1,Automobile Engineering,
BIOMEDICAL AND ROBOTIC ENGINEERING,BIOMEDENG,KCET,1,1,Biomedical Engineering,
"Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",BIOMEDENG,JoSAA,212,1,Biomedical Engineering,
"Bioengineering (4 Years, Bachelor of Technology)",BIOMEDENG,JoSAA,48,1,Biomedical Engineering,
"Biological Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",BIOMEDENG,JoSAA,345,1,Biomedical Engineering,
Biomedical & Robotic Engineering,BIOMEDENG,KEAM,21,1,Biomedical Engineering,
"Instrumentation and Biomedical Engineering (4 Years, Bachelor of Technology)",BIOMEDENG,JoSAA,66,1,Biomedical Engineering,
B TECH IN BIO- TECHNOLOGY,BIOTECH,CollegeFees,11,1,Biotechnology,
B TECH IN BIO-TECHNOLOGY,BIOTECH,KCET,31,3,Biotechnology,
B.TECH IN BIOTECHNOLOGY & BIO-ENGINEERING,BIOTECH,KCET,10,1,Biotechnology,
INDUSTRIAL BIO TECHNOLOGY,BIOTECH,TNEA,24,4,Biotechnology,
"Abu Dhabi Campus - Chemical Engineering (4 Years, Bachelor of Technology)",CHEMENG,JoSAA,48,1,Chemical Engineering,
B TECH IN PETROLEUM ENGINEERING,CHEMENG,KCET,1,1,Chemical Engineering,
Bio Technology and Bio Chemical Engineering,CHEMENG,TNEA,6,1,Chemical Engineering,
Bio Technology and Biochemical Engg.,CHEMENG,KEAM,42,2,Chemical Engineering,
Bio Technology and Biochemical Engineering,CHEMENG,KEAM,20,2,Chemical Engineering,
"Biochemical Engineering (4 Years, Bachelor of Technology)",CHEMENG,JoSAA,48,1,Chemical Engineering,
"Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",CHEMENG,JoSAA,105,1,Chemical Engineering,
"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",CHEMENG,JoSAA,387,1,Chemical Engineering,
"CERAMIC ENGINEERING, OIL TECHNOLOGY, PETROCHEM & PETRO REFINERY ENGG, PHARMACEUTICAL & FINE CHEMICAL TECHNOLOGY",CHEMENG,WBJEE,21,2,Chemical Engineering,
CHEMICAL & ENVIRONMENTAL ENGINEERING,CHEMENG,GUJCET,3,1,Chemical Engineering,
CHEMICAL AND ELECTRO CHEMICAL ENGINEERING,CHEMENG,TNEA,5,1,Chemical Engineering,
CHEMICAL TECHNOLOGY (Ceramic Engineering),CHEMENG,WBJEE,13,2,Chemical Engineering,
"CHEMICAL TECHNOLOGY (Ceramic Engineering, Oil Technology, Petrochem & petro refinery Engg, Pharmaceutical & Fine Chemical Technology)",CHEMENG,WBJEE,41,2,Chemical Engineering,
CHEMICAL TECHNOLOGY (Oil Technology),CHEMENG,WBJEE,12,2,Chemical Engineering,
CHEMICAL TECHNOLOGY (Petrochem & Petro refinery Engineering),CHEMENG,WBJEE,13,2,Chemical Engineering,
CHEMICAL TECHNOLOGY (Pharmaceutical & Fine Chemical Technology),CHEMENG,WBJEE,13,2,Chemical Engineering,
"Ceramic Engineering, Oil Technology, Petrochem & Petro Refinery Engg, Pharmaceutical & Fine Chemical Technology",CHEMENG,WBJEE,27,2,Chemical Engineering,
"Chemical Engineering (Plastic and Polymer) (4 Years, Bachelor of Technology)",CHEMENG,JoSAA,234,1,Chemical Engineering,
"Chemical Science (5 Years, Integrated Bachelor of Science-Master of Science)",CHEMENG,JoSAA,48,1,Chemical Engineering,
Food Technology And Bio Chemical Engineering,CHEMENG,WBJEE,100,2,Chemical Engineering,
PETROLEUM ENGINEERING AND TECHNOLOGY,CHEMENG,TNEA,6,1,Chemical Engineering,
PLASTIC & POLYMER ENGINEERING,CHEMENG,GUJCET,1,1,Chemical Engineering,
PLASTIC ENGINEERING,CHEMENG,GUJCET,1,1,Chemical Engineering,
POLYMER SCIENCE & TECHNOLOGY,CHEMENG,CollegeFees; KCET,2,2,Chemical Engineering,
Petroleum Technology,CHEMENG,AP-EAPCET,36,1,Chemical Engineering,expanded from EAPCET code PET (official course list)
Plastic Engineering,CHEMENG,OJEE,3,2,Chemical Engineering,
Polymer Science & Technology,CHEMENG,WBJEE,91,2,Chemical Engineering,
"Polymer Science and Engineering (4 Years, Bachelor of Technology)",CHEMENG,JoSAA,223,1,Chemical Engineering,
RUBBER AND PLASTIC TECHNOLOGY,CHEMENG,TNEA,6,1,Chemical Engineering,
Integrated MSc in Chemistry,CHEM,OJEE,3,1,Chemistry,
B TECH IN CIVIL ENGINEERING,CIVILENG,KCET,21,7,Civil Engineering,
